scope,key,value
real,cosine_offdiag_mean,0.0012189100210364316
real,cosine_offdiag_median,0.0012204439340929745
real,cosine_offdiag_max,0.0018947814427122747
real,angle_cos_B_offdiag_mean,0.16408249313490583
real,angle_cos_A_offdiag_mean,0.06990813815117573
null_orthogonal,cosine_mean,4.4456253144998734e-07
null_orthogonal,cosine_sd,2.695733448469715e-06
null_orthogonal,angle_cos_B_mean,0.0698686108014879
null_orthogonal,angle_cos_B_sd,1.5803908581527717e-05
null_orthogonal,angle_cos_A_mean,0.06986736312155674
null_orthogonal,angle_cos_A_sd,2.0405985518692155e-05
null_shuffled,cosine_mean,1.2728352856983354e-05
null_shuffled,cosine_sd,0.0
null_shuffled,angle_cos_B_mean,0.16408249313490583
null_shuffled,angle_cos_B_sd,0.0
null_shuffled,angle_cos_A_mean,0.06990813815117573
null_shuffled,angle_cos_A_sd,0.0
null_replicated,cosine_mean,1.0
null_replicated,cosine_sd,0.0
null_replicated,angle_cos_B_mean,1.0
null_replicated,angle_cos_B_sd,0.0
null_replicated,angle_cos_A_mean,1.0
null_replicated,angle_cos_A_sd,0.0
z,cosine_offdiag_mean,451.99775192783505
z,angle_cos_B_offdiag_mean,5961.429215272678
z,angle_cos_A_offdiag_mean,1.9981896773201238
cosine_by_modtype,q_proj,0.0012638170636985776
cosine_by_modtype,k_proj,0.001459377877479027
cosine_by_modtype,v_proj,0.0022030619518330317
cosine_by_modtype,o_proj,0.0014760640223135037
cosine_by_modtype,up_proj,0.0008896159747683654
cosine_by_modtype,down_proj,0.0005717844082456016
cosine_by_layer,layer0,0.002264517763583118
cosine_by_layer,layer1,0.0012671779297793878
cosine_by_layer,layer2,0.0009476934002531755
cosine_by_layer,layer3,0.0013091278021489185
cosine_by_layer,layer4,0.001257243653149716
cosine_by_layer,layer5,0.0015030065940314068
cosine_by_layer,layer6,0.001642517345198487
cosine_by_layer,layer7,0.0015304083276846318
cosine_by_layer,layer8,0.001887494523552764
cosine_by_layer,layer9,0.001529017410707146
cosine_by_layer,layer10,0.0015769260976474149
cosine_by_layer,layer11,0.0016857529898818072
cosine_by_layer,layer12,0.0014772524145769753
cosine_by_layer,layer13,0.0018905029639026776
cosine_by_layer,layer14,0.00157009920116274
cosine_by_layer,layer15,0.0013237519637976404
cosine_by_layer,layer16,0.0011302460603458146
cosine_by_layer,layer17,0.0012976620542282879
cosine_by_layer,layer18,0.0008422444748102315
cosine_by_layer,layer19,0.000633547393874747
cosine_by_layer,layer20,0.0007696410513694422
cosine_by_layer,layer21,0.0007063899395267525
cosine_by_layer,layer22,0.0006355441061951698
cosine_by_layer,layer23,0.0007067198853420288
cosine_by_layer,layer24,0.0008004206315838751
cosine_by_layer,layer25,0.0007479458969087786
cosine_by_layer,layer26,0.0007535898820718914
cosine_by_layer,layer27,0.0008457188641015634
cosine_by_layer,layer28,0.0010291667725123889
cosine_by_layer,layer29,0.0011247749897106362
cosine_by_layer,layer30,0.0012914167656435818
cosine_by_layer,layer31,0.0016729627549721914
shared_subspace,mean_energy_retained_r16,0.5038929838397702
shared_subspace,avg_rank_ratio,0.0625
